System,ObjectType,Name,Mass,unit_M,Radius,unit_R,Luminosity,OrbitalPeriod,unit_P,SemiMajorAxis,InnerDistance,OuterDistance,unit_d,Eccentricity,Inclination,Colour
Sol,Primary,Sol,1.98855E+30,kg,696342,km,1.000,,,,,,,,,#f2ffff
Sol,Secondary,Mercury,3.3010009737E+23,kg,2439.4,km,,87.9691,d,0.387,,,au,0.205630,,#4f4c45
Sol,Secondary,Venus,4.86730581E+24,kg,6051.8,km,,224.701,d,0.723,,,au,0.006772,,#f5f9e1
Sol,Secondary,Earth,5.972168494E+24,kg,6371.0084,km,,365.25,d,1.000,,,au,0.0167086,,#8d909f
Sol,Secondary,Mars,6.416908E+23,kg,3389.50,km,,686.980,d,1.524,,,au,0.0934,,#87694b
Sol,Belt,Asteroid Belt,,,,,,,,,2.1,3.25,au,,,#262625
Sol,Secondary,Jupiter,1.898124626E+27,kg,69911,km,,4332.59,d,5.204,,,au,0.0489,,#d8d8c7
Sol,Secondary,Saturn,5.683173701E+26,kg,58232,km,,10755.70,d,9.582,,,au,0.0565,,#e4d7b4
Sol,Secondary,Uranus,8.680985721E+25,kg,25362,km,,30688.5,d,19.191,,,au,0.04717,,#b7dfe7
Sol,Secondary,Neptune,1.024092879E+26,kg,24622,km,,60195,d,30.07,,,au,0.008678,,#9ac7dc
Sol,Belt,Edgeworth-Kuiper Belt,,,,,,,,,39,48,au,,,#3f3931

Sol,Boundary,Water Frost Line,,,,,,,,3,,,au,,,#ffffff

Kepler-47 AB,Primary,A,0.957,M_sun,0.936,R_sun,0.840,,,,,,,,,#f4fff9
Kepler-47 AB,Primary,B,0.342,M_sun,0.338,R_sun,0.014,,,,,,,,,#ffe698
Kepler-47 AB,Boundary,Circumbinary Stability Limit,,,,,,,,0.27686484,,,au,,,#ffffff
Kepler-47 AB,Secondary,b,2.07,M_earth,3.05,R_earth,,49.4643,d,0.2877,,,au,0.0210,,#3f68fe
Kepler-47 AB,Secondary,d,19.02,M_earth,7.04,R_earth,,187.366,d,0.6992,,,au,0.024,,#f3a425
Kepler-47 AB,Secondary,c,3.17,M_earth,4.65,R_earth,,303.227,d,0.9638,,,au,0.044,,#3f68fe

Sol,Secondary,Kepler-62 c got lost,,,0.54,R_earth,,12.4417,d,,,,,,,#42a04a
Kepler-47 AB,Secondary,HD 20794 d also got lost,5.82,M_earth,,,,,,1.3541,2,5,au,0,50,#3f68fe
